Wavelength,Intensity
6.898145999999999731e+03,0.000000000000000000e+00
6.900613500000000386e+03,1.100000000000000000e+02
6.903086000000000240e+03,4.900000000000000000e+01
6.907373999999999796e+03,1.500000000000000000e+01
6.909849100000000362e+03,7.300000000000000000e+02
6.910689999999999600e+03,2.500000000000000000e+01
6.915005500000000211e+03,9.600000000000000000e+01
6.917036000000000058e+03,7.600000000000000000e+01
6.921431999999999789e+03,5.100000000000000000e+01
6.929689000000000306e+03,5.100000000000000000e+01
6.932457999999999629e+03,5.100000000000000000e+01
6.937079999999999927e+03,0.000000000000000000e+00
6.938966999999999643e+03,0.000000000000000000e+00
6.946780999999999949e+03,2.500000000000000000e+01
6.952966599999999744e+03,2.800000000000000000e+02
6.953229999999999563e+03,0.000000000000000000e+00
6.956332000000000335e+03,2.500000000000000000e+01
6.975478000000000065e+03,2.500000000000000000e+01
6.985471899999999550e+03,1.600000000000000000e+02
6.992696600000000217e+03,2.300000000000000000e+02
6.993037089999999807e+03,8.600000000000000000e+02
6.995930000000000291e+03,5.200000000000000000e+01
