Wavelength,Intensity
6.183942000000000007e+03,5.700000000000000000e+01
6.184789740000000165e+03,8.300000000000000000e+02
6.184987500000000182e+03,1.000000000000000000e+02
6.185655999999999949e+03,8.000000000000000000e+00
6.185770999999999731e+03,9.300000000000000000e+01
6.186158000000000357e+03,2.200000000000000000e+01
6.186378499999999804e+03,8.100000000000000000e+01
6.186762999999999920e+03,2.200000000000000000e+01
6.188125009999999747e+03,6.000000000000000000e+03
6.188863000000000284e+03,1.100000000000000000e+01
6.189144699999999830e+03,3.200000000000000000e+02
6.189938000000000102e+03,9.000000000000000000e+00
6.190709499999999935e+03,1.400000000000000000e+02
6.190770499999999629e+03,5.300000000000000000e+01
6.191261000000000422e+03,2.200000000000000000e+01
6.191905219999999645e+03,5.900000000000000000e+03
6.193178600000000188e+03,5.800000000000000000e+01
6.193289999999999964e+03,2.200000000000000000e+01
6.193576000000000022e+03,2.200000000000000000e+01
6.194792999999999665e+03,1.300000000000000000e+01
6.194926000000000386e+03,1.000000000000000000e+01
6.195320999999999913e+03,2.300000000000000000e+02
6.196171999999999571e+03,4.400000000000000000e+01
6.196306999999999789e+03,1.700000000000000000e+01
6.197591000000000349e+03,1.100000000000000000e+01
6.198222590000000309e+03,9.300000000000000000e+03
6.203168999999999869e+03,3.400000000000000000e+01
6.203492390000000341e+03,1.600000000000000000e+04
6.205018000000000029e+03,1.500000000000000000e+02
6.205860020000000077e+03,6.300000000000000000e+02
6.207220000000000255e+03,9.300000000000000000e+03
6.207750399999999900e+03,3.600000000000000000e+02
6.208687249999999949e+03,6.500000000000000000e+02
6.208860999999999876e+03,2.200000000000000000e+01
6.208986100000000079e+03,9.900000000000000000e+01
6.209658999999999651e+03,2.200000000000000000e+01
6.209949599999999919e+03,9.300000000000000000e+01
6.212718990000000304e+03,8.500000000000000000e+02
6.213328000000000429e+03,3.300000000000000000e+01
6.214104000000000269e+03,2.000000000000000000e+01
6.214539999999999964e+03,8.200000000000000000e+01
6.216270000000000437e+03,3.300000000000000000e+01
6.216439999999999600e+03,8.600000000000000000e+01
6.216864099999999780e+03,3.900000000000000000e+01
6.217439000000000306e+03,9.000000000000000000e+00
6.217578599999999824e+03,2.000000000000000000e+02
6.218179000000000087e+03,1.200000000000000000e+01
6.218862000000000080e+03,2.200000000000000000e+01
6.219671999999999571e+03,1.100000000000000000e+01
6.219777900000000045e+03,1.300000000000000000e+02
6.220011220000000321e+03,1.500000000000000000e+03
6.221059900000000198e+03,1.800000000000000000e+02
6.221319389999999657e+03,7.300000000000000000e+02
6.221432499999999891e+03,1.100000000000000000e+02
6.222578000000000429e+03,3.600000000000000000e+01
6.223307999999999993e+03,5.400000000000000000e+01
6.224042999999999665e+03,5.400000000000000000e+01
6.224527100000000246e+03,7.800000000000000000e+03
6.224677999999999884e+03,8.700000000000000000e+01
6.225103000000000065e+03,2.300000000000000000e+01
6.226369590000000244e+03,2.300000000000000000e+03
6.227182300000000396e+03,4.400000000000000000e+01
6.228237000000000080e+03,8.000000000000000000e+00
6.230220999999999549e+03,1.000000000000000000e+01
6.230547999999999774e+03,1.000000000000000000e+01
6.230932999999999993e+03,3.200000000000000000e+01
6.232067299999999705e+03,1.500000000000000000e+02
6.232128999999999905e+03,2.700000000000000000e+02
6.232185999999999694e+03,8.700000000000000000e+01
6.232879399999999805e+03,4.500000000000000000e+01
6.233003999999999905e+03,8.700000000000000000e+01
6.233858000000000175e+03,3.200000000000000000e+01
6.234196200000000317e+03,2.200000000000000000e+02
6.234855230000000120e+03,3.100000000000000000e+03
6.235176000000000386e+03,1.000000000000000000e+01
6.237102399999999761e+03,5.000000000000000000e+01
6.237986299999999574e+03,6.300000000000000000e+01
6.238082500000000437e+03,1.500000000000000000e+02
6.238207999999999629e+03,5.300000000000000000e+01
6.239305999999999585e+03,5.300000000000000000e+01
6.239742000000000189e+03,2.100000000000000000e+01
6.240306599999999889e+03,9.700000000000000000e+01
6.240953330000000278e+03,1.100000000000000000e+03
6.241873899999999594e+03,9.400000000000000000e+01
6.243360300000000279e+03,3.100000000000000000e+02
6.244371199999999590e+03,5.300000000000000000e+01
6.244875000000000000e+03,2.100000000000000000e+01
6.245150999999999840e+03,1.400000000000000000e+01
6.245600999999999658e+03,5.400000000000000000e+02
6.245850000000000364e+03,2.900000000000000000e+01
6.246173600000000079e+03,3.500000000000000000e+02
6.246407000000000153e+03,1.800000000000000000e+01
6.246663999999999760e+03,1.100000000000000000e+01
6.249156299999999646e+03,4.400000000000000000e+01
6.249262999999999920e+03,3.000000000000000000e+01
6.250485700000000179e+03,3.200000000000000000e+02
6.251442000000000007e+03,1.500000000000000000e+01
6.251765999999999622e+03,1.000000000000000000e+01
6.251959499999999935e+03,3.400000000000000000e+01
6.252312200000000303e+03,5.600000000000000000e+01
6.252608000000000175e+03,7.000000000000000000e+00
6.252886000000000422e+03,2.300000000000000000e+01
6.254776200000000244e+03,6.500000000000000000e+01
6.255201000000000022e+03,1.000000000000000000e+01
6.255333999999999833e+03,3.300000000000000000e+01
6.255523400000000038e+03,3.800000000000000000e+01
6.255851999999999862e+03,1.100000000000000000e+01
6.256337000000000444e+03,2.600000000000000000e+01
6.256654000000000451e+03,2.400000000000000000e+01
6.257423560000000180e+03,3.000000000000000000e+03
6.258096999999999753e+03,2.100000000000000000e+01
6.260217400000000453e+03,1.000000000000000000e+02
6.262886999999999716e+03,1.400000000000000000e+01
6.263025999999999840e+03,1.100000000000000000e+01
6.264713899999999740e+03,1.100000000000000000e+02
6.265603600000000370e+03,1.600000000000000000e+02
6.265962000000000444e+03,3.200000000000000000e+01
6.266485700000000179e+03,4.900000000000000000e+01
6.266614199999999983e+03,1.600000000000000000e+02
6.267188000000000102e+03,2.100000000000000000e+01
6.267800000000000182e+03,2.100000000000000000e+01
6.268200100000000020e+03,1.900000000000000000e+02
6.268922999999999774e+03,2.100000000000000000e+01
6.270298999999999978e+03,1.100000000000000000e+02
6.270331000000000131e+03,8.700000000000000000e+01
6.271544210000000021e+03,1.000000000000000000e+03
6.271737100000000282e+03,7.000000000000000000e+01
6.272676000000000386e+03,3.200000000000000000e+01
6.274503999999999905e+03,1.600000000000000000e+01
6.275077400000000125e+03,5.700000000000000000e+01
6.275679000000000087e+03,2.100000000000000000e+01
6.275849000000000160e+03,3.200000000000000000e+01
6.276165280000000166e+03,8.200000000000000000e+02
6.277511999999999716e+03,2.100000000000000000e+01
6.278125000000000000e+03,4.300000000000000000e+01
6.279977600000000166e+03,1.900000000000000000e+02
